NAME, RAJ, DECJ
J1850-0006, 18:50:47.93, -00:06:26.1
J1851-0029, 18:51:55.093, -00:29:58.1
J1851-0053, 18:51:03.17, -00:53:07.3
J1852-0635, 18:52:57.448, -06:36:00.45
J1852-2610, 18:52:59.46742446, -26:10:12.69975227
J1853-0004, 18:53:23.027, -00:04:33.4
J1854+0319, 18:54:00.110, +03:19:12.8
J1854-1421, 18:54:44.29196728, -14:21:26.42168523
J1856-0526, 18:56:21.977, -05:26:56.8
J1857+0057, 18:57:00.80703283, +00:57:16.77690206
J1900-0933, 19:00:31.19, -09:33:48.1
J1900-2600, 19:00:47.582, -26:00:43.8
J1900-7951, 19:00:24.4, -79:51:48.2
J1901+0124, 19:01:52.545, +01:24:49.3
J1901+0156, 19:01:34.28758439, +01:56:38.21965093
J1901+0511, 19:01:42.91, +05:11:00.2
J1901+0716, 19:01:38.93555118, +07:16:34.8084974
J1901+1306, 19:01:48.77, +13:06:48.3
J1901-0312, 19:01:15.675, -03:12:29.5
J1901-0906, 19:01:53.0087, -09:06:11.146
J1902+0556, 19:02:42.61936629, +05:56:25.9226547
J1902+0615, 19:02:50.277, +06:16:33.41
J1903+0135, 19:03:29.986, +01:35:38.53
J1903+2225, 19:03:52.95, +22:25:12.3
J1903-0848, 19:03:11.271, -08:48:57.4
J1904+1011, 19:04:02.49, +10:11:34.6
J1904-1224, 19:04:33.28086769, -12:24:01.3150341
J1905+0616, 19:05:06.849, +06:16:16.7
J1905+0709, 19:05:53.62105897, +07:09:19.36673159
J1905-0056, 19:05:27.752, -00:56:40.8
J1906+1854, 19:06:44.71, +18:54:08.5
J1907+0731, 19:07:54.79, +07:31:21.9
J1907+0740, 19:07:44.118, +07:40:22.6
J1907+1247, 19:07:10.70, +12:47:35.9
J1907-1532, 19:07:06.78, -15:32:14.9
J1908+0916, 19:08:58.76, +09:16:14
J1909+0007, 19:09:35.25665182, +00:07:57.77488446
J1909+0254, 19:09:38.30941732, +02:54:50.67614669
J1909+1102, 19:09:48.6829, +11:02:03.044
J1909+1859, 19:09:18.604, +18:59:10.74
J1910+0517, 19:10:37.907, +5:17:56.1
J1910+0714, 19:10:18.597, +07:14:11.8
J1910+0728, 19:10:22.079, +07:28:37.09
J1910-0309, 19:10:29.692, -03:09:54.1
J1912+2104, 19:12:43.3391, +21:04:33.926
J1913+0936, 19:13:52.70, +09:36:41.8
J1914+0219, 19:14:23.794, +02:19:47.8
J1914+1122, 19:14:10.12, +11:22:03.7
J1915+0227, 19:15:02.122, +02:27:47.77
J1915+0738, 19:15:24.80, +07:38:31.4
J1915+0752, 19:15:01.94, +07:52:09.2
J1915+1009, 19:15:29.991, +10:09:43.37
J1915+1647, 19:15:19.10848575, +16:47:08.48025436
J1916+1030, 19:16:11.72, +10:30:53.4
J1917+1737, 19:17:23.976, +17:37:31.6
J1918+1444, 19:18:23.63700008, +14:45:06.0066063
J1919+0134, 19:19:43.62, +01:34:56.5
J1919+1745, 19:19:43.342, +17:45:03.79
J1921+1419, 19:21:24.15870097, +14:19:17.07875649
J1921+1948, 19:21:03.79857493, +19:48:44.67092226
J1921+2003, 19:21:51.597, +20:03:20.8
J1921+2153, 19:21:44.815, 21:53:02.25
J1922+1733, 19:22:53.2180, +17:33:23.47
J1923+1706, 19:23:07.85, +17:06:09.4
J1926+0431, 19:26:24.472, +04:31:31.54
J1926+1434, 19:26:57.2246739, +14:34:55.34309824
J1926+1648, 19:26:45.32161864, +16:48:32.78575747
J1926-0652, 19:26:37.041, -06:52:42.7
J1926-1314, 19:26:53.835, -13:14:03.8
J1927+0911, 19:27:25.628, +09:11:05.7
J1927+1852, 19:27:10.422, +18:52:08.5
J1927+2234, 19:27:08.08, +22:34:57.3
J1929+1955, 19:29:17.5713, +19:55:07.91
J1929+2121, 19:29:04.239, +21:21:22.68
J1931+1439, 19:31:40.433, +14:39:38.7
J1932+1059, 19:32:14.0570, +10:59:33.38
J1932+2220, 19:32:22.74047056, +22:20:51.49265243
J1933+1304, 19:33:22.529, +13:04:49.97
J1935+1159, 19:35:16.076, 11:59:09.2
J1941+0121, 19:41:16.039, 01:21:39.5
J1943+0609, 19:43:29.132, +06:09:57.6
J1944+1755, 19:44:31.80, +17:55:42.4
J1945-0040, 19:45:28.39634261, -00:40:58.06740555
J1946+1805, 19:46:53.044, 18:05:41.24
J1946+2244, 19:46:24.89, +22:44:59.4
J1946-2913, 19:46:51.734, -29:13:47.1
J1947+0915, 19:47:46.22, +09:15:08.0
J1949-2524, 19:49:25.41413293, -25:24:00.97473289
J1951+1123, 19:51:08.25, +11:23:25.2
J1953+1149, 19:53:47.47, +11:49:42.6
J2002+1637, 20:02:47.77, +16:37:16.7
J2007+0910, 20:07:58.1031, +09:10:12.93
J2017+2043, 20:17:28.938, +20:43:31.90
J2037+1942, 20:37:14.54, +19:42:54.3
J2043+2740, 20:43:43.5, +27:40:56
J2046+1540, 20:46:39.3373, +15:40:33.558
J2046-0421, 20:46:00.1730, -04:21:26.256
J2048-1616, 20:48:35.640637, -16:16:44.55350
J2051+1248, 20:51:29.66, +12:48:21.5
J2053-7200, 20:53:47.280, -72:00:42.48
J2108-3429, 21:08:30.49, -34:29:37.9
J2111+2106, 21:11:33.13, 21:06:07.0
J2116+1414, 21:16:13.752, 14:14:21.04
J2127-6648, 21:27:31.28, -66:48:28.1
J2136-1606, 21:36:00.22, -16:06:13.0
J2139+2242, 21:39:26.90, 22:42:42.0
J2154-2812, 21:54:17.37, -28:12:41
J2155-3118, 21:55:13.6101387, -31:18:54.66517453
J2215+1538, 22:15:39.653, +15:38:34.88
J2253+1516, 22:53:14.533, +15:16:37.83
J2307+2225, 23:07:41.288, +22:25:50.12
J2317+2149, 23:17:57.8419, +21:49:48.019
J2324-6054, 23:24:27.14, -60:54:05.794
J2330-2005, 23:30:26.885, -20:05:29.63
J2346-0609, 23:46:50.4978, -06:09:59.899
